T26,Population employed in research and development (R&D),,,,,
426,Lesotho,2015,R & D personnel: Researchers - total (number in full-time equivalent),50,Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
426,Lesotho,2015,R & D personnel: Researchers - women (number in full-time equivalent),20,Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
426,Lesotho,2015,R & D personnel: Technicians - total (number in full-time equivalent),14,Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
426,Lesotho,2015,R & D personnel: Technicians - women (number in full-time equivalent),7,Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
426,Lesotho,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),8,Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
426,Lesotho,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),2,Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
434,Libya,2004,R & D personnel: Total (number in full-time equivalent),772,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
434,Libya,2004,R & D personnel: Researchers - total (number in full-time equivalent),215,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
434,Libya,2004,R & D personnel: Technicians - total (number in full-time equivalent),164,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
434,Libya,2009,R & D personnel: Total (number in full-time equivalent),"1,131",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
434,Libya,2009,R & D personnel: Researchers - total (number in full-time equivalent),460,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
434,Libya,2009,R & D personnel: Researchers - women (number in full-time equivalent),101,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
434,Libya,2009,R & D personnel: Technicians - total (number in full-time equivalent),229,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
434,Libya,2009,R & D personnel: Other supporting staff - total (number in full-time equivalent),268,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
440,Lithuania,2005,R & D personnel: Total (number in full-time equivalent),"11,002",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
440,Lithuania,2005,R & D personnel: Researchers - total (number in full-time equivalent),"7,637",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
440,Lithuania,2005,R & D personnel: Researchers - women (number in full-time equivalent),"3,706",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
440,Lithuania,2005,R & D personnel: Technicians - total (number in full-time equivalent),"1,436",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
440,Lithuania,2005,R & D personnel: Technicians - women (number in full-time equivalent),939,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
440,Lithuania,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,929",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
440,Lithuania,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,280",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
440,Lithuania,2010,R & D personnel: Total (number in full-time equivalent),"12,315",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
440,Lithuania,2010,R & D personnel: Researchers - total (number in full-time equivalent),"8,599",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
440,Lithuania,2010,R & D personnel: Researchers - women (number in full-time equivalent),"4,367",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
440,Lithuania,2010,R & D personnel: Technicians - total (number in full-time equivalent),"1,691",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
440,Lithuania,2010,R & D personnel: Technicians - women (number in full-time equivalent),887,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
440,Lithuania,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"2,025",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
440,Lithuania,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,281",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
440,Lithuania,2011,R & D personnel: Total (number in full-time equivalent),"11,173",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
440,Lithuania,2011,R & D personnel: Researchers - total (number in full-time equivalent),"8,390",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
